country,year,rgdpo,rgdpe,cn,pop,emp,y_per_person,y_per_worker,rel_income_US,k_per_worker,ln_y,ln_k,ln_y_hat_Solow,lnZ_implied,lnZ_tilde,ln_y_hat_full
Guinea-Bissau,2023,5251.2802734375,4595.5771484375,7472.45263671875,2.153339,0.610543012619019,2438.6686320349468,8600.99970829462,0.03345827860708904,12239.027361339384,9.059633720636192,9.41238508896603,9.655595152347622,8.883258036471272,7.237840039206292,7.962688389126205
Equatorial Guinea,2023,35900.1640625,34720.859375,111980.765625,1.847549,0.584172070026398,19431.23785214898,61454.77660525214,0.2665945513045408,191691.40630078348,11.026056843547725,12.163642099133655,10.572680822403498,10.457264215754758,9.989097049373918,10.71394539929383
Greece,2023,351551.78125,378671.03125,2603367.25,10.242908,4.93057203292847,34321.4818731165,71300.4046796572,0.4708871421209276,528005.1143383768,11.174657282117797,13.176861248888413,10.910420538988419,10.173555298732488,11.002316199128675,11.727164549048588
Grenada,2023,1787.29077148438,1894.70788574219,9660.5029296875,0.117081,0.033976748585701,15265.421131390916,52603.349227964536,0.20943998153714816,284326.8803464346,10.870535070234174,12.55787984240081,10.70409340349255,10.026862684150856,10.383334792641072,11.108183142560986
Guatemala,2023,221287.953125,216551.765625,873987.8125,18.124838,7.85298252105713,12209.099641331966,28178.84192809986,0.16750757030918415,111293.7422382481,10.246326689083027,11.619928311408492,10.391442893161777,9.559525877920294,9.445383261648754,10.170231611568667
"China, Hong Kong SAR",2023,436914.125,454528.625,2526376.25,7.442734,3.78499341011047,58703.44486313766,115433.25909971613,0.8054051245936571,667471.7697662422,11.656447798635707,13.41125237587716,10.988550914651334,10.77904551001498,11.236707326117422,11.961555676037335
Honduras,2023,68596.5,65579.53125,303074.5,10.644851,3.69051432609558,6444.10147215776,18587.24663794285,0.08841239830435366,82122.56428784574,9.830230959899067,11.3159680967516,10.29012282160948,9.0873623914728,9.141423046991862,9.866271396911776
Croatia,2023,142371.109375,149700.140625,758075.625,3.896023,1.73528373241425,36542.67682069639,82044.85912913112,0.5013617045196624,436859.7543096375,11.315021439212606,12.98736749421597,10.847255954097603,10.478848411710922,10.812822444456232,11.537670794376146
Haiti,2023,34538.62890625,34987.1640625,460279.25,11.637398,4.66559314727783,2967.8996031801958,7402.8377134430975,0.040719272186730195,98653.96220168765,8.909618680474203,11.499373674878235,10.351258014318358,7.614741183272186,9.324828625118498,10.04967697503841
Hungary,2023,339900.3125,384031.46875,2046395.125,9.686463,4.81310176849365,35090.24011138018,70619.80586510187,0.48143442475680504,425171.7963654148,11.165065920471262,12.960248592971087,10.838216320349309,10.267474584221349,10.78570354321135,11.510551893131263
Indonesia,2023,3924527.0,3915058.25,25676676.0,281.190067,139.674240112305,13956.847913834737,28097.71506073336,0.19148649383667482,183832.58057716786,10.243443537450979,12.121780734224048,10.558727034100297,9.304274939064443,9.94723568446431,10.672084034384223
India,2023,12868320.0,12544909.0,51797352.0,1438.069596,670.032348632813,8948.329090464966,19205.52048905928,0.1227701393472494,77305.74815632621,9.862953042160184,11.255523593470928,10.269974653849257,9.16666776650481,9.08097854371119,9.805826893631103
Ireland,2023,688778.1875,606887.125,2411348.75,5.19663,2.6321063041687,132543.24196642824,261683.27107804155,1.8184794190340912,916128.9368065923,12.47489016243237,13.727912394456295,11.094104254177712,11.848379046420407,11.553367344696557,12.27821569461647
Iran (Islamic Republic of),2023,1341823.75,1344136.125,8858677.0,90.608707,27.1074466705322,14808.993466819917,49500.1896087344,0.20317784171028028,326798.65085301583,10.809731779028928,12.69709951360272,10.750499960559853,9.866047911742031,10.522554463842981,11.247402813762895
Iraq,2023,618051.0,603191.3125,1710355.25,45.074049,10.8354902267456,13711.903272767884,57039.50509543576,0.18812587897638955,157847.51905163215,10.951499378603057,11.96938477673644,10.507928381604426,10.442556679536363,9.794839726976702,10.519688076896616
Iceland,2023,24492.322265625,26616.939453125,147983.703125,0.387558,0.222970470786095,63196.53384944963,109845.58708279143,0.8670498356198638,663691.9346462117,11.606830904796377,13.405573366952618,10.986657911676485,10.707459673718256,11.23102831719288,11.955876667112793
Israel,2023,408450.15625,457309.5625,1462970.25,9.256314,4.67936229705811,44126.65303381022,87287.5683310075,0.6054130650672247,312643.0819258773,11.376963329980935,12.652817505534504,10.735739291203782,10.73903624220415,10.478272455774766,11.20312080569468
Italy,2023,3004023.0,3032539.75,20274386.0,59.499453,26.2558193206787,50488.24566504838,114413.60725826123,0.6926934507025457,772186.3771370559,11.647575295419712,13.556981221031503,11.037127196369447,10.692872332613815,11.382436171271765,12.107284521191678
Jamaica,2023,26849.064453125,28776.29296875,166536.203125,2.839786,1.30281054973602,9454.608358913312,20608.571567497092,0.12971623796606954,127828.41155127592,9.93346236374351,11.758444108825579,10.437614825634139,9.020971491202475,9.58389905906584,10.308747408985754
Jordan,2023,106258.5390625,102470.1953125,746491.875,11.439213,2.61252379417419,9288.97285700511,40672.754559959125,0.12744373620126634,285735.9143157445,10.61331372613709,12.562823286708904,10.705741218261913,9.638558945851182,10.388278236949166,11.113126586869079
Japan,2023,5505348.0,5393180.5,30113922.0,124.370947,67.9327163696289,44265.54700110147,81041.18743088139,0.6073186757735866,443290.41453527415,11.302712791219975,13.001980397524571,10.852126921867136,10.453078988067675,10.827435347764833,11.552283697684746
Kazakhstan,2023,697153.625,709324.125,2257631.75,20.330104,9.39698886871338,34291.690047429176,74189.04446307523,0.4704784013879857,240250.55063294026,11.214371769508706,12.389437618746417,10.647945995607753,10.62683884488985,10.214892568986679,10.939740918906592
Kenya,2023,315389.78125,308679.90625,725178.9375,55.339003,19.9494342803955,5699.231358577241,15809.459898315841,0.07819285824102211,36350.85222504982,9.668363767590623,10.500972927667574,10.018457765248138,9.252059187552147,8.326427877907836,9.05127622782775
Kyrgyzstan,2023,69961.7734375,50925.15234375,237045.546875,7.073516,3.1536819934845,9890.664478245331,22184.15603793942,0.13569888232261848,75164.69554150848,10.007133621076296,11.227436925518356,10.2606124311984,9.396981968855265,9.052891875758618,9.777740225678532
Cambodia,2023,100914.046875,96302.9609375,520901.40625,17.42388,9.13638591766357,5791.709244726203,11045.291626736203,0.07946164516808596,57013.9452234532,9.309759519012777,10.95105116993705,10.16848384600463,8.48911369355064,8.776506120177313,9.501354470097226
Republic of Korea,2023,2912405.5,2711053.75,14919624.0,51.748739,28.4401531219482,56279.7385265755,102404.70533023962,0.7721521271157686,524597.1755505787,11.536687941022475,13.170385962394658,10.908262110157166,10.719838930336383,10.99584091263492,11.720689262554833
Kuwait,2023,266112.46875,239306.4375,907858.5,4.838782,3.07099366188049,54995.75487178385,86653.53890279568,0.7545360056449645,295623.6970688121,11.369673135657669,12.596842630840397,10.71708099963908,10.756088388066303,10.42229758108066,11.147145931000573
Lao People's DR,2023,64498.90234375,64174.9140625,266699.9375,7.664993,4.39940118789673,8414.737279440438,14660.836688682555,0.11544931550050054,60621.87241157339,9.592935046709902,11.012411037821572,10.18893713529947,8.883197051154067,8.837865988061834,9.562714337981747
Lebanon,2023,74007.8359375,61745.7421875,489297.71875,5.773493,1.85877096652985,12818.554718521353,39815.468000162306,0.17586923023429332,263237.2290941647,10.592010758990472,12.480810916356642,10.678403761477828,9.647610680307388,10.306265866596904,11.031114216516817
Liberia,2023,9152.1240234375,9006.4189453125,22432.982421875,5.493031,1.21719014644623,1666.133692571096,7519.058587648367,0.022859180025694818,18430.138041596434,8.92519622129452,9.82174254068446,9.792047636253766,8.47692306159955,7.647197490924722,8.372045840844635
Saint Lucia,2023,4162.5234375,4087.04125976563,20115.638671875,0.179285,0.0883573964238167,23217.354700616335,47110.073474029996,0.31853967853132154,227662.19338772685,10.760242131319913,12.335618201321626,10.630006189799488,9.972554096319055,10.161073151561888,10.885921501481802
Sri Lanka,2023,292659.15625,283839.71875,1103390.25,22.971617,8.1201114654541,12740.032895812255,36041.2732626982,0.17479191903816532,135883.63345678474,10.492420040251883,11.819554162105296,10.457984843394046,9.828852979325175,9.645009112345559,10.369857462265472
Lesotho,2023,5353.71044921875,5605.927734375,26754.080078125,2.311472,0.517736196517944,2316.147653624508,10340.614554719854,0.03177730359596221,51675.119989795305,9.243834580988691,10.85273170655589,10.135710691544244,8.439386018205091,8.678186656796152,9.403035006716065
Lithuania,2023,119061.4609375,128820.2578125,531646.4375,2.854099,1.51215028762817,41715.953419100035,78736.52633049434,0.5723385184529638,351583.0680652088,11.273862447833649,12.77020128682246,10.774867218299766,10.525693028339242,10.595656237062721,11.320504586982635
Luxembourg,2023,62787.98046875,78869.2421875,321780.75,0.665098,0.510162234306335,94404.10355879886,123074.53638570973,1.2952144284921094,630742.0039382642,11.720545437694339,13.354652189353214,10.969684185810017,10.9034920618649,11.180107139593476,11.904955489513389
Latvia,2023,65017.234375,70633.1640625,515984.09375,1.882396,0.909331023693085,34539.615668010345,71500.07277981582,0.4738799149754706,567432.6293789286,11.177453746581103,13.248877306539754,10.934425891538865,10.141741966601776,11.074332256780016,11.79918060669993
"China, Macao SAR",2023,46163.0703125,61618.39453125,240792.21875,0.713912,0.415018677711487,64662.12966374007,111231.30787041753,0.8871576569268508,580196.1012400365,11.619367166769376,13.271121430964058,10.9418405996803,10.793490034672034,11.09657638120432,11.821424731124234
Morocco,2023,341819.1875,328706.5625,1405715.25,37.712505,11.5467500686646,9063.815503637321,29603.064539140225,0.12435460085895128,121741.20351100429,10.295633166680823,11.709652787911686,10.421351051996176,9.58862335606539,9.535107738151948,10.259956088071862
Republic of Moldova,2023,34878.37109375,34450.8515625,150590.984375,3.06707,0.998097479343414,11371.88622814282,34944.85440108946,0.1560210898320477,150878.03294931113,10.461526509386294,11.924227060595868,10.49287580955757,9.730176233781506,9.74968201083613,10.474530360756043
Madagascar,2023,50093.55859375,48227.25390625,153387.859375,31.195932,16.8070011138916,1605.772143424021,2980.5173602532723,0.022031025883722244,9126.426441908148,7.999852175254081,9.118929488634512,9.557776618903784,7.440313518563865,6.944384438874774,7.669232788794687
Maldives,2023,9751.8310546875,10439.7158203125,86358.3828125,0.525994,0.31703320145607,18539.81424633646,30759.652332624133,0.2543643126536572,272395.39081671333,10.333959120975216,12.515009932470848,10.689803433515895,9.243433715227399,10.34046488271111,11.065313232631024
Mexico,2023,2596760.0,2742741.25,10838618.0,129.739759,59.4779663085938,20015.14431670865,43659.192826584615,0.27460568693612336,182229.12908227596,10.684169142223109,12.113020125246138,10.55580683110766,9.969743650711594,9.9384750754864,10.663323425406311
North Macedonia,2023,40753.8984375,41637.34375,183974.75,1.831802,0.74772173166275,22247.982280563076,54504.09786388488,0.3052399903005733,246047.08170094938,10.906031167987722,12.413278185630206,10.65589285123568,10.15240765916648,10.238733135870469,10.963581485790382
Mali,2023,61185.33203125,60815.63671875,98459.1640625,23.769127,7.27060842514038,2574.151420506525,8415.434920093176,0.03531708829676992,13542.080429204103,9.037822789198213,9.513557185269137,9.68931918444866,8.79995559116275,7.3390121355094,8.063860485429313
Malta,2023,24939.763671875,33046.3359375,88354.2890625,0.532956,0.291403114795685,46795.16446362364,85585.09640283468,0.6420247628239617,303202.96721759107,11.357266439527853,12.62215771904017,10.725519362372335,10.724820799771695,10.447612669280431,11.172461019200345
Myanmar,2023,396321.9375,391349.1875,1443007.625,54.133798,20.6308174133301,7321.15521434502,19210.190733592855,0.10044548392903103,69944.27782912934,9.86319618458332,11.155454173018132,10.23661818036499,9.217067190365913,8.980909123258394,9.705757473178307
Montenegro,2023,16684.541015625,15945.3994140625,58845.76171875,0.633552,0.254897475242615,26334.919652412114,65455.88966600951,0.36131234364976333,230860.51230103307,11.08913175454703,12.349568964264739,10.634656444113858,10.458913149688174,10.175023914505001,10.899872264424914
Mongolia,2023,52069.98828125,60550.23046875,231470.578125,3.431932,1.43648731708527,15172.208622213377,36248.13645198311,0.20816111565895562,161136.52753626078,10.498143250740217,11.99000728173981,10.514802549938883,9.75221123524042,9.815462231980073,10.540310581899986
Mozambique,2023,51894.5703125,49167.7265625,261282.875,33.63516,12.4998655319214,1542.866759441608,4151.610285724658,0.021167970593831048,20902.854861338437,8.33125155862074,9.947641024860776,9.834013797645872,7.523056825500723,7.773095975101038,8.497944325020951
Mauritania,2023,29042.595703125,27726.873046875,112055.7109375,5.022441,1.08791542053223,5782.565828672751,26695.637505456798,0.0793361984560078,103000.38847016261,10.19225544173012,11.542488038759638,10.365629468945492,9.517139143215362,9.3679429889999,10.092791338919813
Montserrat,2023,119.216506958008,142.644943237305,963.075866699219,0.00442,0.0023282456677407,26972.060397739366,51204.43628858727,0.3700538480464878,413648.73133588844,10.8435814535355,12.932772417614686,10.829057595230509,9.798985971495906,10.758227367854948,11.483075717774861
Mauritius,2023,35380.13671875,32990.36328125,127058.0546875,1.273588,0.596035063266754,27779.891706540893,59359.153343828875,0.38113720912406757,213172.1143905849,10.991361614663884,12.269855167177997,10.608085178418278,10.352114838406825,10.09531011741826,10.820158467338173
Malawi,2023,36883.421875,34805.78515625,32814.76171875,21.104482,7.02863550186157,1747.6582403207053,5247.593485994719,0.023977688295367873,4668.72435055977,8.565524866875728,8.44864115501003,9.33434717436229,8.623966722808577,6.274096105250292,6.998944455170205
